0,Administration Building
1,Science Building
2,Cafeteria
3,Technology Innovation Center Bldg
4,Library Building
5,Residence Halls
6,Manegement Admiistration
7,Undergraduate Building
8,Arts and Design Workshop building
9,Social Science Building
10,New Highschool Building
11,Arts and Sciences Bldg (AS Conference Hall)
12,Union Building
13,UP Cebu Go Negosyo Center
14,Co-working Space
15,Creative and Digital Content Production Center (HS area)
16,Oblation Square
17,Open field and Joggers Path
18,College Mini Stage
19,College Basketball Court
20,Tennis/Volleyball Court
21,High School Open Court
22,High School Open Field
23,High School Covered Court
24,Soccer Field
25,Guard House 1
26,Guard House 2
27,Guard House 3
28,Guard House 4
29,Management Building 1
30,Management Building 2
31,AS East Wing
32,AS West Wing
33,Principal's Office and Faculty Rooom
34,High School Music Room and Computer Room
35,Senior High School Building
36,Junior High School Building
